basDt,srtnCd,itmsNm,fltRt,clpr,lstgStCnt,justification
2025-12-16,0007C0,아크릴,243.59,67000,7980324,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-07-04,000885,한화우,-40.51,42300,199033,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-08-19,0008Z0,에스엔시스,50.0,45000,9436564,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-12-04,0009K0,에임드바이오,300.0,44000,64156161,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-12-22,0013V0,삼진식품,152.76,19210,9918656,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-11-17,0015G0,그린광학,42.81,22850,11702541,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-11-27,0015N0,아로마티카,149.0,19920,12715050,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-12-10,0015S0,페스카로,74.84,27100,9662730,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-12-05,0054V0,엔에이치스팩32호,92.0,3840,6216500,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-11-28,0096B0,삼성스팩12호,51.5,3030,6580000,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-12-01,0096D0,미래에셋비전스팩9호,66.75,3335,5500000,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-12-19,0099X0,IBKS제25호스팩,35.75,2715,5980000,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-05-16,012600,청호ICT,-92.05,198,46634517,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-11-17,014200,광림,-75.3,1492,15117780,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-11-18,014200,광림,33.98,1999,15117780,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-11-25,014200,광림,57.75,2950,15117780,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-08-28,019590,에스유앤피,-88.72,312,37988847,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-07-03,023460,CNH,-55.05,49,37200000,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-07-10,023460,CNH,-40.74,16,37200000,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-07-11,023460,CNH,-43.75,9,37200000,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-09-01,024810,이화전기,-89.54,94,218948640,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-09-03,024810,이화전기,182.61,260,218948640,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-09-04,024810,이화전기,-39.62,157,218948640,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-09-08,024810,이화전기,49.75,295,218948640,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-09-09,024810,이화전기,35.59,400,218948640,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-03-19,038340,MIT,-77.45,278,32424892,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-03-21,038340,MIT,53.46,399,32424892,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-03-24,038340,MIT,-39.85,240,32424892,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-03-27,038340,MIT,-68.18,70,32424892,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-08-11,044060,조광ILI,-93.03,51,95732184,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-12-18,054630,에이디칩스,-79.11,330,7970946,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-12-23,054630,에이디칩스,-43.18,125,7970946,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
