sector_macro,분석건수,장중평균수익률,장중중앙값수익률,양봉비율,음봉비율
금융/지주,63507,0.034138589020104006,0.0,44.92,43.91
철강/소재,40873,-0.04112177665459346,-0.13869625520110956,43.58,51.81
IT/반도체,63714,-0.08296561829756127,-0.20533880903490762,43.0,53.02
기계/유틸리티,78666,-0.06579802076820848,-0.2222222222222222,42.83,53.33
건설/부동산,17816,-0.07635903048178481,-0.11567383857846286,42.82,51.58
기타/서비스,151186,-0.11160437309650718,-0.15527950310559005,42.81,52.09
자동차/운송장비,34149,-0.07795990624184158,-0.1564945226917058,42.7,52.45
소비재/유통/식음료,22788,-0.15221177347039352,-0.14388518996985655,42.5,52.07
2차전지/화학,63214,-0.09584728042228464,-0.18587360594795538,42.48,53.11
미디어/컨텐츠/게임,69792,-0.12159855049522406,-0.22637245507140918,42.24,53.58
바이오/헬스케어,59127,-0.09122451891215994,-0.19455252918287938,41.82,53.27
