sector_macro,종목수,전체거래건수,일평균등락률,등락률중앙값,등락률표준편차,총거래대금_조원,거래대금점유율
기타/서비스,717,166212,0.06946098957957307,0.0,4.021962938298693,825.89,17.11
미디어/컨텐츠/게임,309,72620,0.0644585513632608,0.0,4.011360293918246,793.9,16.44
기계/유틸리티,344,81573,0.16293222021992573,0.0,4.11664182435705,770.24,15.95
IT/반도체,272,64858,0.13623423478984859,0.0,3.743458598295958,632.12,13.09
금융/지주,312,65376,0.13294037567302985,0.0,2.6010614967161243,416.07,8.62
2차전지/화학,272,65061,0.0957114092928175,0.0,3.353089928531592,415.62,8.61
바이오/헬스케어,264,62187,0.08128435203499124,0.0,3.521531178374878,352.16,7.29
자동차/운송장비,147,34973,0.11000428902296057,0.0,3.362815558838758,318.85,6.6
철강/소재,172,41381,0.0954148038955076,0.0,3.3957536792147796,164.77,3.41
건설/부동산,79,19118,0.09853175018307354,0.0,3.271137512060337,72.19,1.5
소비재/유통/식음료,97,23165,0.06111979279084826,0.0,3.4391695085697807,65.95,1.37
